timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665919159837,172,GetSingleUser,200,OK,Thread Group 1-24,text,true,,948,381,250,250,https://reqres.in/api/users/2,172,0,0
1665919159836,174,GetSingleUser,200,OK,Thread Group 1-157,text,true,,952,381,250,250,https://reqres.in/api/users/2,174,0,0
1665919159423,589,Homepage,200,OK,Thread Group 1-176,text,true,,7835,441,250,250,https://reqres.in/,589,0,0
1665919159553,461,GetAllUsers,200,OK,Thread Group 1-33,text,true,,1787,772,250,250,https://reqres.in/api/users?page=2,283,0,0
1665919159553,283,GetAllUsers-0,301,Moved Permanently,Thread Group 1-33,,true,,662,386,250,250,http://reqres.in/api/users?page=2,283,0,0
1665919159836,178,GetAllUsers-1,200,OK,Thread Group 1-33,text,true,,1125,386,250,250,https://reqres.in/api/users?page=2,178,0,0
1665919159435,596,Homepage,200,OK,Thread Group 1-216,text,true,,7781,441,250,250,https://reqres.in/,596,0,0
1665919159846,187,GetSingleUser,200,OK,Thread Group 1-211,text,true,,946,381,250,250,https://reqres.in/api/users/2,187,0,0
1665919159573,460,GetAllUsers,200,OK,Thread Group 1-189,text,true,,1791,772,250,250,https://reqres.in/api/users?page=2,266,0,0
1665919159573,266,GetAllUsers-0,301,Moved Permanently,Thread Group 1-189,,true,,664,386,250,250,http://reqres.in/api/users?page=2,266,0,0
1665919159839,194,GetAllUsers-1,200,OK,Thread Group 1-189,text,true,,1127,386,250,250,https://reqres.in/api/users?page=2,194,0,0
1665919159575,460,GetAllUsers,200,OK,Thread Group 1-241,text,true,,1783,772,250,250,https://reqres.in/api/users?page=2,272,0,0
1665919159575,272,GetAllUsers-0,301,Moved Permanently,Thread Group 1-241,,true,,662,386,250,250,http://reqres.in/api/users?page=2,272,0,0
1665919159848,187,GetAllUsers-1,200,OK,Thread Group 1-241,text,true,,1121,386,250,250,https://reqres.in/api/users?page=2,187,0,0
